algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
raucb_plus,1,76,800.0,300,10,3.4,0.0,0.0,0.0,0,0.8,10.0,0.05,7,5,3.3027392144974357,2642.1913715979485,3.3027392144974357,0.0,3.3027392144974357,1.1711000006471295,4.99,3.32,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,77,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.8,10.0,0.05,7,6,3.6459090863138894,2916.7272690511118,3.64590908631389,0.0,3.6459090863138894,1.124599999457132,4.99,3.72,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,78,800.0,300,10,4.2,0.0,0.0,0.0,0,0.8,10.0,0.05,7,7,4.114499461764438,3291.59956941155,4.114499461764438,0.0,4.114499461764438,1.156099999207072,4.99,4.12,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,79,800.0,300,10,4.6,0.0,0.0,0.0,0,0.8,10.0,0.05,7,8,4.497708592349438,3598.1668738795506,4.497708592349438,0.0,4.497708592349438,1.6619999987597112,4.99,4.52,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,80,800.0,300,10,5.0,0.0,0.0,0.0,0,0.8,10.0,0.05,7,9,4.958766191102379,3967.0129528819034,4.958766191102379,0.0,4.958766191102379,1.2609000004886184,4.99,4.92,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,81,800.0,300,10,1.4,0.0,0.0,0.0,0,0.9,10.0,0.05,8,0,1.3196816424188575,1055.745313935086,1.3196816424188575,0.0,1.3196816424188575,1.2176999989605974,4.99,1.3099999999999998,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,82,800.0,300,10,1.8,0.0,0.0,0.0,0,0.9,10.0,0.05,8,1,1.628457538378245,1302.766030702596,1.6284575383782451,0.0,1.628457538378245,1.2353999991319142,4.99,1.71,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,83,800.0,300,10,2.2,0.0,0.0,0.0,0,0.9,10.0,0.05,8,2,2.05024184599484,1640.1934767958721,2.05024184599484,0.0,2.05024184599484,1.2776000003213994,4.99,2.1100000000000003,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,84,800.0,300,10,2.6,0.0,0.0,0.0,0,0.9,10.0,0.05,8,3,2.554189451829363,2043.3515614634903,2.554189451829363,0.0,2.554189451829363,1.375099998767837,4.99,2.5100000000000002,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,85,800.0,300,10,3.0,0.0,0.0,0.0,0,0.9,10.0,0.05,8,4,2.9439882508708926,2355.1906006967142,2.943988250870893,0.0,2.9439882508708926,1.366099999358994,4.99,2.91,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,86,800.0,300,10,3.4,0.0,0.0,0.0,0,0.9,10.0,0.05,8,5,3.2779878317045754,2622.3902653636605,3.277987831704576,0.0,3.2779878317045754,1.3793000016448786,4.99,3.31,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,87,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.9,10.0,0.05,8,6,3.7099475601716363,2967.958048137309,3.7099475601716363,0.0,3.7099475601716363,1.403500000378699,4.99,3.7100000000000004,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,88,800.0,300,10,4.2,0.0,0.0,0.0,0,0.9,10.0,0.05,8,7,4.132278677688809,3305.8229421510478,4.132278677688809,0.0,4.132278677688809,1.420600001438288,4.99,4.11,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,89,800.0,300,10,4.6,0.0,0.0,0.0,0,0.9,10.0,0.05,8,8,4.533420216792364,3626.736173433891,4.533420216792364,0.0,4.533420216792364,1.48559999979625,4.99,4.51,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,90,800.0,300,10,5.0,0.0,0.0,0.0,0,0.9,10.0,0.05,8,9,4.9538121098057175,3963.049687844574,4.9538121098057175,0.0,4.9538121098057175,1.5015999997558538,4.99,4.91,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,91,800.0,300,10,1.4,0.0,0.0,0.0,0,1.0,10.0,0.05,9,0,1.312824281361078,1050.2594250888624,1.312824281361078,0.0,1.312824281361078,1.5127999995456776,4.99,1.2999999999999998,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,92,800.0,300,10,1.8,0.0,0.0,0.0,0,1.0,10.0,0.05,9,1,1.695258583051575,1356.20686644126,1.695258583051575,0.0,1.695258583051575,1.540200000818004,4.99,1.7,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
